"yyyymmdd,Hr:Min:Sec,Temp"
"20160701,6:00:00,20.94"
"20160701,7:00:00,20.91"
"20160701,8:00:00,21.06"
"20160701,9:00:00,21.18"
"20160701,10:00:00,21.34"
"20160701,11:00:00,21.51"
"20160701,12:00:00,21.99"
"20160701,13:00:00,22.39"
"20160701,14:00:00,22.54"
"20160701,15:00:00,22.63"
"20160701,16:00:00,22.61"
"20160701,17:00:00,22.37"
"20160701,18:00:00,22.08"
"20160701,19:00:00,21.7"
"20160701,20:00:00,21.37"
"20160701,21:00:00,21.13"
"20160701,22:00:00,20.94"
"20160701,23:00:00,20.72"
"20160702,0:00:00,20.56"
"20160702,1:00:00,20.39"
"20160702,2:00:00,20.27"
"20160702,3:00:00,20.15"
"20160702,4:00:00,20.03"
"20160702,5:00:00,19.94"
"20160702,6:00:00,19.89"
"20160702,7:00:00,19.79"
"20160702,8:00:00,19.79"
"20160702,9:00:00,19.96"
"20160702,10:00:00,20.2"
"20160702,11:00:00,20.53"
"20160702,12:00:00,21.06"
"20160702,13:00:00,21.44"
"20160702,14:00:00,21.84"
"20160702,15:00:00,21.99"
"20160702,16:00:00,22.11"
"20160702,17:00:00,22.15"
"20160702,18:00:00,22.23"
"20160702,19:00:00,22.08"
"20160702,20:00:00,21.87"
"20160702,21:00:00,21.53"
"20160702,22:00:00,21.27"
"20160702,23:00:00,21.01"
"20160703,0:00:00,20.75"
"20160703,1:00:00,20.51"
"20160703,2:00:00,20.39"
"20160703,3:00:00,20.37"
"20160703,4:00:00,20.32"
"20160703,5:00:00,20.29"
"20160703,6:00:00,20.17"
"20160703,7:00:00,20.06"
"20160703,8:00:00,20.17"
"20160703,9:00:00,20.37"
"20160703,10:00:00,20.48"
"20160703,11:00:00,20.67"
"20160703,12:00:00,21.08"
"20160703,13:00:00,21.44"
"20160703,14:00:00,21.68"
"20160703,15:00:00,21.77"
"20160703,16:00:00,21.82"
"20160703,17:00:00,21.6"
"20160703,18:00:00,21.37"
"20160703,19:00:00,21.1"
"20160703,20:00:00,20.82"
"20160703,21:00:00,20.51"
"20160703,22:00:00,20.27"
"20160703,23:00:00,20.08"
"20160704,0:00:00,19.94"
"20160704,1:00:00,19.84"
"20160704,2:00:00,19.75"
"20160704,3:00:00,19.75"
"20160704,4:00:00,19.77"
"20160704,5:00:00,19.82"
"20160704,6:00:00,19.84"
"20160704,7:00:00,19.87"
"20160704,8:00:00,19.91"
"20160704,9:00:00,19.98"
"20160704,10:00:00,20.1"
"20160704,11:00:00,20.22"
"20160704,12:00:00,20.48"
"20160704,13:00:00,20.79"
"20160704,14:00:00,21.01"
"20160704,15:00:00,21.03"
"20160704,16:00:00,21.1"
"20160704,17:00:00,21.03"
"20160704,18:00:00,20.87"
"20160704,19:00:00,20.67"
"20160704,20:00:00,20.41"
"20160704,21:00:00,20.2"
"20160704,22:00:00,20.13"
"20160704,23:00:00,20.08"
"20160705,0:00:00,20.03"
"20160705,1:00:00,20.01"
"20160705,2:00:00,19.98"
"20160705,3:00:00,19.96"
"20160705,4:00:00,19.98"
"20160705,5:00:00,20.01"
"20160705,6:00:00,19.98"
"20160705,7:00:00,19.98"
"20160705,8:00:00,20.03"
"20160705,9:00:00,20.13"
"20160705,10:00:00,20.27"
"20160705,11:00:00,20.39"
"20160705,12:00:00,20.58"
"20160705,13:00:00,21.01"
"20160705,14:00:00,21.32"
"20160705,15:00:00,21.37"
"20160705,16:00:00,21.32"
"20160705,17:00:00,21.18"
"20160705,18:00:00,20.98"
"20160705,19:00:00,20.75"
"20160705,20:00:00,20.53"
"20160705,21:00:00,20.37"
"20160705,22:00:00,20.22"
"20160705,23:00:00,20.08"
"20160706,0:00:00,19.96"
"20160706,1:00:00,19.84"
"20160706,2:00:00,19.72"
"20160706,3:00:00,19.65"
"20160706,4:00:00,19.67"
"20160706,5:00:00,19.75"
"20160706,6:00:00,19.77"
"20160706,7:00:00,19.79"
"20160706,8:00:00,19.82"
"20160706,9:00:00,19.89"
"20160706,10:00:00,19.98"
"20160706,11:00:00,20.22"
"20160706,12:00:00,20.53"
"20160706,13:00:00,21.03"
"20160706,14:00:00,21.29"
"20160706,15:00:00,21.39"
"20160706,16:00:00,21.46"
"20160706,17:00:00,21.34"
"20160706,18:00:00,21.18"
"20160706,19:00:00,20.96"
"20160706,20:00:00,20.7"
"20160706,21:00:00,20.46"
"20160706,22:00:00,20.27"
"20160706,23:00:00,20.2"
"20160707,0:00:00,20.08"
"20160707,1:00:00,20.01"
"20160707,2:00:00,19.96"
"20160707,3:00:00,19.96"
"20160707,4:00:00,19.98"
"20160707,5:00:00,20.01"
"20160707,6:00:00,19.98"
"20160707,7:00:00,19.91"
"20160707,8:00:00,19.96"
"20160707,9:00:00,20.03"
"20160707,10:00:00,20.08"
"20160707,11:00:00,20.29"
"20160707,12:00:00,20.6"
"20160707,13:00:00,20.98"
"20160707,14:00:00,21.27"
"20160707,15:00:00,21.58"
"20160707,16:00:00,22.61"
"20160707,17:00:00,23.42"
"20160707,18:00:00,23.45"
"20160707,19:00:00,23.16"
"20160707,20:00:00,22.87"
"20160707,21:00:00,22.51"
"20160707,22:00:00,22.06"
"20160707,23:00:00,21.7"
"20160708,0:00:00,21.46"
"20160708,1:00:00,21.27"
"20160708,2:00:00,21.1"
"20160708,3:00:00,20.94"
"20160708,4:00:00,20.84"
"20160708,5:00:00,20.79"
"20160708,6:00:00,20.75"
"20160708,7:00:00,20.7"
"20160708,8:00:00,20.65"
"20160708,9:00:00,20.63"
"20160708,10:00:00,20.65"
"20160708,11:00:00,20.75"
"20160708,12:00:00,21.27"
"20160708,13:00:00,21.68"
"20160708,14:00:00,22.13"
"20160708,15:00:00,22.49"
"20160708,16:00:00,22.61"
"20160708,17:00:00,22.54"
"20160708,18:00:00,22.3"
"20160708,19:00:00,22.01"
"20160708,20:00:00,21.72"
"20160708,21:00:00,21.49"
"20160708,22:00:00,21.25"
"20160708,23:00:00,21.06"
"20160709,0:00:00,20.89"
"20160709,1:00:00,20.67"
"20160709,2:00:00,20.56"
"20160709,3:00:00,20.48"
"20160709,4:00:00,20.41"
"20160709,5:00:00,20.34"
"20160709,6:00:00,20.29"
"20160709,7:00:00,20.32"
"20160709,8:00:00,20.34"
"20160709,9:00:00,20.41"
"20160709,10:00:00,20.48"
"20160709,11:00:00,20.63"
"20160709,12:00:00,20.87"
"20160709,13:00:00,21.27"
"20160709,14:00:00,21.7"
"20160709,15:00:00,21.99"
"20160709,16:00:00,22.23"
"20160709,17:00:00,22.35"
"20160709,18:00:00,22.35"
"20160709,19:00:00,22.2"
"20160709,20:00:00,21.92"
"20160709,21:00:00,21.63"
"20160709,22:00:00,21.44"
"20160709,23:00:00,21.27"
"20160710,0:00:00,21.15"
"20160710,1:00:00,21.03"
"20160710,2:00:00,20.94"
"20160710,3:00:00,20.89"
"20160710,4:00:00,20.87"
"20160710,5:00:00,20.82"
"20160710,6:00:00,20.72"
"20160710,7:00:00,20.63"
"20160710,8:00:00,20.6"
"20160710,9:00:00,20.72"
"20160710,10:00:00,20.94"
"20160710,11:00:00,21.08"
"20160710,12:00:00,21.32"
"20160710,13:00:00,21.7"
"20160710,14:00:00,22.06"
"20160710,15:00:00,22.3"
"20160710,16:00:00,22.51"
"20160710,17:00:00,22.56"
"20160710,18:00:00,22.44"
"20160710,19:00:00,22.2"
"20160710,20:00:00,21.92"
"20160710,21:00:00,21.63"
"20160710,22:00:00,21.39"
"20160710,23:00:00,21.18"
"20160711,0:00:00,21.06"
"20160711,1:00:00,20.94"
"20160711,2:00:00,20.79"
"20160711,3:00:00,20.6"
"20160711,4:00:00,20.51"
"20160711,5:00:00,20.48"
